CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,BAGLOCATION,BAGSTATUS,BAGTYPE,BAGDEPLOY,BAGMALFUNCTION,BAGFLAPSOPEN,BAGFLAPSDAM,BAGDAMAGE,BAGDAMSOURCE,PREVCRASH,PRIORMAINT,DEPLOYEVENT,BAGDVTOTAL,BAGDVLONG,BAGDVLAT,BAGDVENERGY,BAGDVSPEED,BAGDVBES,BAGDVEST,BAGDVRANK,CDCFORDEPLOY,CASEWGT,PSUSTRAT,VERSION
28175,13,1,1-13-2023-001-04,4,2,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,2338.696424,7,8
28175,13,1,1-13-2023-001-04,4,2,2,5,1,99,1,0,1,0,0,50,9,9,1,9,-6,-7,3535,998,4,0,1,1,2338.696424,7,8
28175,13,1,1-13-2023-001-04,4,2,3,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,2338.696424,7,8
28175,13,1,1-13-2023-001-04,4,2,4,5,1,99,1,0,1,0,0,50,,,,,,,,,,,,,2338.696424,7,8
28175,13,1,1-13-2023-001-04,4,2,5,8,1,99,1,0,1,0,0,50,9,9,1,9,-6,-7,3535,998,4,0,1,1,2338.696424,7,8
28175,13,1,1-13-2023-001-04,4,2,6,8,1,99,1,0,1,0,0,50,9,9,1,9,-6,-7,3535,998,4,0,1,1,2338.696424,7,8
28175,13,1,1-13-2023-001-04,4,2,7,4,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,2338.696424,7,8
28179,27,1,1-27-2023-001-03,3,1,1,1,1,1,1,0,1,0,0,50,1,1,1,999,999,999,9999999,999,17,2,1,1,35.3877847,3,8
28179,27,1,1-27-2023-001-03,3,1,2,5,1,1,1,0,1,0,0,50,1,1,1,999,999,999,9999999,999,17,2,1,1,35.3877847,3,8
28179,27,1,1-27-2023-001-03,3,1,3,8,1,1,1,0,1,0,0,50,1,1,1,999,999,999,9999999,999,17,2,1,1,35.3877847,3,8
28179,27,1,1-27-2023-001-03,3,1,4,3,1,1,7,0,60,60,60,60,,,,,,,,,,,,,35.3877847,3,8
28179,27,1,1-27-2023-001-03,3,1,5,5,1,1,1,0,1,0,0,50,,,,,,,,,,,,,35.3877847,3,8
28179,27,1,1-27-2023-001-03,3,1,6,8,1,1,1,0,1,0,0,50,,,,,,,,,,,,,35.3877847,3,8
28182,15,1,1-15-2023-001-02,2,2,1,1,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,13.35160515,1,8
28182,15,1,1-15-2023-001-02,2,2,2,2,1,1,7,0,60,60,60,60,,,,,,,,,,,,,13.35160515,1,8
28182,15,1,1-15-2023-001-02,2,2,3,8,1,1,1,0,1,0,0,50,1,1,1,999,999,999,9999999,999,999,7,1,1,13.35160515,1,8
28182,15,1,1-15-2023-001-02,2,2,4,8,1,1,1,0,1,0,0,50,,,,,,,,,,,,,13.35160515,1,8
28182,15,1,1-15-2023-001-02,2,2,5,5,1,1,1,0,1,0,0,50,,,,,,,,,,,,,13.35160515,1,8
28182,15,1,1-15-2023-001-02,2,2,6,5,1,1,1,0,1,0,0,50,,,,,,,,,,,,,13.35160515,1,8
28182,15,1,1-15-2023-001-02,2,2,7,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,13.35160515,1,8
28182,15,1,1-15-2023-001-02,2,2,8,5,1,1,7,0,60,60,60,60,,,,,,,,,,,,,13.35160515,1,8
28182,15,1,1-15-2023-001-02,2,2,9,4,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,13.35160515,1,8
28182,15,1,1-15-2023-001-02,2,2,10,11,1,1,7,0,60,60,60,60,,,,,,,,,,,,,13.35160515,1,8
28184,26,1,1-26-2023-001-06,6,1,1,1,1,99,1,0,1,0,0,50,9,9,1,13,-13,0,12916,998,13,0,1,1,470.1596593,10,8
28184,26,1,1-26-2023-001-06,6,1,2,5,1,99,1,0,1,0,0,50,9,9,99,,,,,,,,,99,470.1596593,10,8
28184,26,1,1-26-2023-001-06,6,1,3,8,1,99,1,0,1,0,0,50,9,9,99,,,,,,,,,99,470.1596593,10,8
28184,26,1,1-26-2023-001-06,6,1,4,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,470.1596593,10,8
28184,26,1,1-26-2023-001-06,6,1,5,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,470.1596593,10,8
28184,26,1,1-26-2023-001-06,6,1,6,8,1,99,7,0,60,60,60,60,,,,,,,,,,,,,470.1596593,10,8
28191,22,1,1-22-2023-001-10,10,1,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,73.59569021,12,8
28191,22,1,1-22-2023-001-10,10,1,2,3,1,99,7,0,60,60,60,60,,,,,,,,,,,,,73.59569021,12,8
28192,29,1,1-29-2023-001-03,3,1,1,1,1,1,7,0,60,60,60,60,2,1,60,,,,,,,,,60,297.177478,2,8
28192,29,1,1-29-2023-001-03,3,1,2,2,1,1,7,0,60,60,60,60,2,1,60,,,,,,,,,60,297.177478,2,8
28192,29,1,1-29-2023-001-03,3,1,3,5,1,1,7,0,60,60,60,60,2,1,60,,,,,,,,,60,297.177478,2,8
28192,29,1,1-29-2023-001-03,3,1,4,5,1,1,1,1,1,0,0,50,2,1,1,13,-5,-13,11543,998,14,0,1,1,297.177478,2,8
28192,29,1,1-29-2023-001-03,3,1,5,8,1,1,7,0,60,60,60,60,2,1,60,,,,,,,,,60,297.177478,2,8
28192,29,1,1-29-2023-001-03,3,1,6,8,1,1,1,0,1,0,0,50,2,1,1,13,-5,-13,11543,998,14,0,1,1,297.177478,2,8
28192,29,1,1-29-2023-001-03,3,1,7,5,1,1,7,0,60,60,60,60,,,,,,,,,,,,,297.177478,2,8
28192,29,1,1-29-2023-001-03,3,1,8,5,1,1,1,0,1,0,0,50,,,,,,,,,,,,,297.177478,2,8
28192,29,1,1-29-2023-001-03,3,1,9,4,1,1,7,0,60,60,60,60,2,1,60,,,,,,,,,60,297.177478,2,8
28192,29,1,1-29-2023-001-03,3,1,10,4,1,1,7,0,60,60,60,60,2,1,60,,,,,,,,,60,297.177478,2,8
28197,30,1,1-30-2023-001-06,6,2,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,507.0040068,10,8
28197,30,1,1-30-2023-001-06,6,2,2,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,507.0040068,10,8
28197,30,1,1-30-2023-001-06,6,2,3,4,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,507.0040068,10,8
28197,30,1,1-30-2023-001-06,6,2,4,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,507.0040068,10,8
