CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,WEIGHTDIST,CASEWGT,PSUSTRAT,VERSION
31172,32,128,1-32-2023-128-06,6,1,260,415,170,1114,148,84,71,140,4,1.6,2,1,0,1,60,1385.175917,7,8
31172,32,128,1-32-2023-128-06,6,2,270,463,188,1244,156,89,104,152,4,2.0,2,1,0,0,61,1385.175917,7,8
31174,27,81,1-27-2023-081-03,3,1,294,493,185,1935,161,84,115,156,6,3.0,2,4,0,0,99,29.78704282,3,8
31174,27,81,1-27-2023-081-03,3,2,274,459,189,1832,163,90,96,999,4,2.0,2,4,0,0,99,29.78704282,3,8
31177,31,72,1-31-2023-072-10,10,1,262,458,173,1240,148,96,100,147,4,2.2,2,1,0,1,60,190.9257288,6,8
29788,66,32,1-66-2023-032-09,9,2,270,467,189,1730,162,93,104,150,4,2.4,2,4,0,0,56,198.7188951,6,8
29796,26,56,1-26-2023-056-03,3,1,283,488,191,1532,160,94,112,166,4,2.0,2,1,0,0,61,315.7097579,10,8
29796,26,56,1-26-2023-056-03,3,2,240,417,170,1191,999,87,92,999,4,2.2,1,2,9,1,44,315.7097579,10,8
29796,26,56,1-26-2023-056-03,3,3,284,475,183,1722,155,87,102,999,6,3.0,2,1,9,0,59,315.7097579,10,8
29831,59,56,1-59-2023-056-07,7,1,274,485,187,1890,156,98,113,162,6,3.8,2,2,0,0,55,543.8221299,6,8
29831,59,56,1-59-2023-056-07,7,2,365,573,203,2378,174,100,108,170,6,4.3,2,3,0,1,58,543.8221299,6,8
29848,52,59,1-52-2023-059-03,3,1,285,495,193,1950,166,99,111,165,6,3.5,2,4,0,0,54,20.29700373,12,8
29848,52,59,1-52-2023-059-03,3,2,285,484,192,1700,163,92,107,164,6,3.6,2,2,0,0,52,20.29700373,12,8
29848,52,59,1-52-2023-059-03,3,3,368,581,200,2522,170,98,116,999,8,5.0,2,3,9,0,56,20.29700373,12,8
29851,10,79,1-10-2023-079-07,7,1,270,463,188,1244,156,89,104,150,4,2.0,2,1,0,0,61,948.1400985,4,8
31290,29,74,1-29-2023-074-04,4,2,270,462,186,1669,157,100,93,999,6,3.2,2,3,0,0,57,563.9084873,2,8
31290,29,74,1-29-2023-074-04,4,3,246,407,188,1791,160,74,87,999,4,2.0,2,3,9,0,51,563.9084873,2,8
31293,21,85,1-21-2023-085-09,9,1,285,474,175,1673,150,83,106,150,6,3.5,2,4,0,0,61,2151.271327,11,8
31310,23,74,1-23-2023-074-08,8,1,334,540,195,1857,161,92,115,184,8,6.5,2,1,0,1,99,137.5445059,5,8
31313,32,136,1-32-2023-136-01,1,1,281,500,190,1845,165,103,116,168,6,3.5,2,4,0,0,58,67.15273732,7,8
31384,15,169,1-15-2023-169-03,3,1,269,467,181,1497,155,100,99,999,4,2.4,2,1,9,0,61,56.01207573,1,8
31384,15,169,1-15-2023-169-03,3,2,270,462,180,1280,156,92,101,152,4,2.0,2,1,0,0,61,56.01207573,1,8
