CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
19460,18,74,1-18-2020-074-05,5,2,1,1,Crash Data Retrieval Tool 19.5.2,Crash Data Retrieval Tool 19.5.1,1,8487,57.4865885735629,6,5
19463,26,146,1-26-2020-146-03,3,1,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.3,1,5515,1405.33205463127,10,5
19454,19,150,1-19-2020-150-07,7,1,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.3,1,9476,479.194207218953,9,5
19453,22,112,1-22-2020-112-07,7,1,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.3,1,7631,87.6310552462787,12,5
19468,20,71,1-20-2020-071-04,4,1,1,2,Crash Data Retrieval Tool 19.5,Crash Data Retrieval Tool 19.5.3,1,22517,800.824382655546,11,5
19455,19,151,1-19-2020-151-06,6,2,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.3,1,33399,166.014900743543,9,5
19468,20,71,1-20-2020-071-04,4,3,1,0,Crash Data Retrieval Tool 19.5.2,Crash Data Retrieval Tool 19.5.1,1,999997,800.824382655546,11,5
19456,19,152,1-19-2020-152-04,4,1,1,0,Crash Data Retrieval Tool 19.5,Crash Data Retrieval Tool 19.5.3,1,999997,246.136262148929,9,5
19472,29,153,1-29-2020-153-03,3,1,1,5,Crash Data Retrieval Tool 19.5.2,Crash Data Retrieval Tool 19.5.1,1,4562,50.2744606053215,2,5
19467,20,70,1-20-2020-070-04,4,1,1,3,Crash Data Retrieval Tool 19.5,Crash Data Retrieval Tool 19.5.3,1,9970,800.824382655546,11,5
19469,29,150,1-29-2020-150-06,6,2,1,2,Crash Data Retrieval Tool 19.5.2,Crash Data Retrieval Tool 19.5.3,1,8478,90.1206971356379,2,5
19457,19,153,1-19-2020-153-03,3,2,1,3,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.3,1,999997,82.0683899358432,9,5
19470,29,151,1-29-2020-151-04,4,1,1,1,Crash Data Retrieval Tool 19.5.2,Crash Data Retrieval Tool 19.5.3,1,14939,162.236595600474,2,5
19470,29,151,1-29-2020-151-04,4,2,1,2,Crash Data Retrieval Tool 19.5.2,Crash Data Retrieval Tool 19.5.3,1,5875,162.236595600474,2,5
19464,15,102,1-15-2020-102-03,3,2,1,1,Crash Data Retrieval Tool 19.5.2,Crash Data Retrieval Tool 19.5.3,1,2567,40.4736039261814,1,5
19451,22,110,1-22-2020-110-04,4,1,1,1,Crash Data Retrieval Tool 19.5.2,Crash Data Retrieval Tool 21.1.1,1,6460,45.2360607058516,12,5
19480,52,163,1-52-2020-163-08,8,1,1,1,Crash Data Retrieval Tool 19.5,Crash Data Retrieval Tool 19.5.1,1,999997,27.755496471605,12,5
19480,52,163,1-52-2020-163-08,8,2,1,1,Crash Data Retrieval Tool 19.5,Crash Data Retrieval Tool 19.5.1,1,999997,27.755496471605,12,5
19481,76,79,1-76-2020-079-08,8,1,1,1,Crash Data Retrieval Tool 19.5.2,Crash Data Retrieval Tool 19.5.3,1,20587,30.2377231003998,3,5
19492,14,77,1-14-2020-077-04,4,1,1,1,Crash Data Retrieval Tool 19.5.2,Crash Data Retrieval Tool 19.5.3,1,7191,8585.40283147626,8,5
19484,77,92,1-77-2020-092-02,2,2,1,6,Crash Data Retrieval Tool 19.5.2,Crash Data Retrieval Tool 19.5.1,1,9493,82.8182922699722,9,5
19485,77,93,1-77-2020-093-03,3,1,1,1,Crash Data Retrieval Tool 19.5.2,Crash Data Retrieval Tool 19.5.1,1,19887,607.288162382099,9,5
16720,52,35,1-52-2020-035-10,10,1,1,0,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,999997,1276.7186565701,12,5
16726,32,32,1-32-2020-032-06,6,1,1,2,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,12810,2017.3792670312,7,5
16723,52,38,1-52-2020-038-03,3,2,1,1,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,5761,41.5797596493364,12,5
16719,48,14,1-48-2020-014-10,10,1,1,2,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,999997,126.593638159487,12,5
16727,32,33,1-32-2020-033-02,2,1,1,1,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,19987,51.6237272515386,7,5
16727,32,33,1-32-2020-033-02,2,2,1,1,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,6184,51.6237272515386,7,5
16737,16,22,1-16-2020-022-05,5,1,1,2,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,17392,74.7772406533311,5,5
16733,25,21,1-25-2020-021-06,6,1,1,1,Crash Data Retrieval Tool 19.3,Crash Data Retrieval Tool 19.5.1,1,12506,381.553414539592,2,5
16736,27,17,1-27-2020-017-07,7,1,1,2,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,28894,467.300639807239,3,5
16736,27,17,1-27-2020-017-07,7,2,1,0,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,999997,467.300639807239,3,5
16739,16,24,1-16-2020-024-10,10,1,1,1,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,32272,13704.4937100626,5,5
16735,27,16,1-27-2020-016-04,4,2,1,0,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,999997,253.822107503434,3,5
16752,66,15,1-66-2020-015-06,6,1,1,2,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,11714,137.909663459258,6,5
16750,31,17,1-31-2020-017-03,3,1,1,1,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,5289,299.370702356788,6,5
16751,31,18,1-31-2020-018-08,8,2,1,1,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,40907,240.513593226908,6,5
16754,19,32,1-19-2020-032-02,2,1,1,1,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,2443,44.8387754761066,9,5
16755,19,33,1-19-2020-033-04,4,2,1,1,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,15556,396.262395439368,9,5
16756,19,34,1-19-2020-034-03,3,2,1,1,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,3046,132.124444004728,9,5
16757,19,35,1-19-2020-035-07,7,1,1,1,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,20475,771.469602704881,9,5
16762,29,36,1-29-2020-036-07,7,1,1,2,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,10480,196.534328956867,2,5
16763,29,37,1-29-2020-037-08,8,2,1,2,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,9847,24.7191350981545,2,5
16770,15,16,1-15-2020-016-03,3,1,1,1,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,684,35.430955428096,1,5
16768,33,15,1-33-2020-015-07,7,1,1,1,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,18885,243.366913067519,12,5
16765,22,20,1-22-2020-020-09,9,1,1,3,Crash Data Retrieval Tool 19.1.1,Crash Data Retrieval Tool 19.5.1,1,19734,76.4684049173933,12,5
16764,22,19,1-22-2020-019-10,10,1,1,1,Crash Data Retrieval Tool 19.3,Crash Data Retrieval Tool 19.5.1,1,24225,390.487605804671,12,5
16776,26,36,1-26-2020-036-06,6,2,1,2,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,999997,423.732985950728,10,5
16776,26,36,1-26-2020-036-06,6,4,1,2,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,11801,423.732985950728,10,5
16743,20,14,1-20-2020-014-03,3,1,1,2,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,19351,439.550962028678,11,5
16743,20,14,1-20-2020-014-03,3,2,1,1,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,1623,439.550962028678,11,5
16779,30,23,1-30-2020-023-06,6,1,1,1,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,4449,1126.91130272166,10,5
16780,28,17,1-28-2020-017-10,10,1,1,1,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,999997,117.527796099707,3,5
16798,17,32,1-17-2020-032-09,9,1,1,1,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,999997,481.816280608809,4,5
16801,17,35,1-17-2020-035-08,8,1,1,1,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,999997,59.3090966749975,4,5
16792,10,40,1-10-2020-040-09,9,1,1,1,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,20117,1505.36511085548,4,5
