CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,LFBELT,LF1STAGEDEP,LF2STAGEDEP,LFSWITCH,LFDISPOSAL,LFSIDEDEPTIME,LFCURTDEPTIME,LFPRETENDEPTIME,LFRETRACTDEPTIME,LFBUCKDEPTIME,LFTRACKPOS,LFOCCSIZE,LFOCCPOS,RFBELT,RF1STAGEDEP,RF2STAGEDEP,RFSWITCH,RFDISPOSAL,RFSIDEDEPTIME,RFCURTDEPTIME,RFPRETENDEPTIME,RFRETRACTDEPTIME,RFBUCKDEPTIME,RFTRACKPOS,RFOCCSIZE,RFOCCPOS,CASEWGT,PSUSTRAT,VERSION
7900,22,95,1-22-2017-095-04,4,1,1,1,1,41.00,9997.00,7,8,9995.00,42.00,40.00,9997.00,9997.00,0,7,7,0,9995.00,9995.00,1,0,9995.00,42.00,40.00,9997.00,9997.00,0,8,7,234.577677181081,12,2
8507,22,112,1-22-2017-112-03,3,2,1,1,1,36.00,138.00,7,1,9997.00,9995.00,9994.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,1,0,9997.00,9995.00,9994.00,9997.00,9997.00,7,7,7,118.671445581412,12,2
8873,33,130,1-33-2017-130-04,4,1,1,1,1,17.00,102.00,7,8,9995.00,9995.00,9994.00,9999.00,9995.00,0,7,7,1,17.00,152.00,7,8,9995.00,9995.00,9994.00,9999.00,9994.00,0,7,7,65.0090935907276,12,2
7428,19,77,1-19-2017-077-04,4,1,1,1,1,11.00,9995.00,7,8,9995.00,9995.00,11.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,11.00,9997.00,9997.00,7,7,7,1079.33398644682,9,2
8206,19,111,1-19-2017-111-07,7,1,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,5,7,2883.97503579998,9,2
6211,18,2,1-18-2017-002-04,4,2,1,1,1,9997.00,9997.00,7,0,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,0,9997.00,9997.00,7,0,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,559.497086859663,6,2
6211,18,2,1-18-2017-002-04,4,2,1,2,1,9997.00,9997.00,7,0,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,0,9997.00,9997.00,7,0,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,559.497086859663,6,2
6314,18,6,1-18-2017-006-10,10,2,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,9018.03222861973,6,2
7127,18,28,1-18-2017-028-09,9,3,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,853.812316806498,6,2
7542,18,37,1-18-2017-037-04,4,1,1,1,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,0,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,5254.45731880989,6,2
6174,16,4,1-16-2017-004-02,2,1,1,2,0,36.00,136.00,7,8,36.00,36.00,36.00,9997.00,9997.00,7,7,7,0,36.00,66.00,7,8,36.00,36.00,36.00,9997.00,9997.00,7,3,7,40.0150623120713,5,2
