CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,CASEWGT,PSUSTRAT,VERSION
23547,19,149,1-19-2021-149-07,7,2,390,598,203,2971,174,100,108,999,8,6.6,9,3,9,0,713.222906088109,9,6
23549,19,151,1-19-2021-151-03,3,1,260,420,180,1290,155,87,74,150,4,2.0,2,1,0,0,123.875035165046,9,6
23549,19,151,1-19-2021-151-03,3,2,270,463,184,1550,160,93,100,999,4,2.5,2,1,9,0,123.875035165046,9,6
23550,30,95,1-30-2021-095-03,3,1,290,499,196,2049,167,100,109,999,6,3.5,2,1,9,0,211.550769274905,10,6
23550,30,95,1-30-2021-095-03,3,2,288,507,194,1956,165,107,114,999,4,3.5,2,1,9,0,211.550769274905,10,6
23551,30,96,1-30-2021-096-07,7,1,281,486,187,1475,162,97,108,999,4,2.4,2,1,9,0,1414.53148004123,10,6
23551,30,96,1-30-2021-096-07,7,2,266,437,175,1455,147,77,96,999,6,3.0,2,2,9,0,1414.53148004123,10,6
23552,11,61,1-11-2021-061-05,5,1,270,463,184,1550,160,93,100,150,4,2.5,2,1,0,0,195.374185937689,8,6
23553,11,62,1-11-2021-062-03,3,1,227,396,168,1066,143,80,88,999,4,1.8,9,1,9,0,1566.63486726027,8,6
23553,11,62,1-11-2021-062-03,3,2,322,536,186,2014,156,93,123,999,4,2.3,2,3,0,0,1566.63486726027,8,6
23554,24,148,1-24-2021-148-04,4,1,283,488,191,1433,160,94,112,148,4,1.5,2,1,0,0,400.164831122254,1,6
23554,24,148,1-24-2021-148-04,4,2,285,495,193,1950,166,99,111,999,6,3.5,2,3,9,0,400.164831122254,1,6
23555,24,149,1-24-2021-149-08,8,1,401,618,203,2818,174,95,120,165,8,5.4,2,3,0,1,107.211048719641,1,6
23555,24,149,1-24-2021-149-08,8,2,315,519,196,1955,170,95,109,999,4,3.5,2,1,9,0,107.211048719641,1,6
23555,24,149,1-24-2021-149-08,8,3,275,482,184,1614,158,101,108,999,4,2.5,2,4,9,0,107.211048719641,1,6
23556,24,150,1-24-2021-150-06,6,1,308,514,200,2050,166,96,111,156,6,3.6,2,1,0,0,224.353749214713,1,6
23557,24,151,1-24-2021-151-03,3,1,253,440,176,1280,151,99,86,136,4,2.7,2,1,0,1,111.301308931243,1,6
23557,24,151,1-24-2021-151-03,3,2,270,456,178,1272,157,88,98,148,4,2.0,2,1,0,0,111.301308931243,1,6
23559,13,94,1-13-2021-094-02,2,1,398,614,203,2236,172,96,120,999,8,5.0,2,3,0,0,27.4968029957096,7,6
23559,13,94,1-13-2021-094-02,2,2,289,489,183,1735,158,100,100,150,4,2.4,2,1,0,1,27.4968029957096,7,6
23560,13,95,1-13-2021-095-04,4,1,266,459,185,1502,161,91,101,999,4,1.5,9,1,9,0,2033.66277980083,7,6
23562,25,91,1-25-2021-091-04,4,1,287,504,200,2146,170,98,119,999,6,3.5,2,3,0,0,750.939913204384,2,6
23562,25,91,1-25-2021-091-04,4,2,256,425,178,1476,154,93,76,138,4,1.4,2,4,0,0,750.939913204384,2,6
23565,73,83,1-73-2021-083-04,4,1,282,475,190,1853,165,96,98,999,6,3.5,2,4,0,0,327.013364469941,3,6
23565,73,83,1-73-2021-083-04,4,2,367,592,208,2327,174,101,124,999,8,5.7,2,3,9,0,327.013364469941,3,6
23566,23,109,1-23-2021-109-03,3,1,200,305,168,960,147,56,50,999,4,1.3,2,1,9,0,163.576725075435,5,6
23566,23,109,1-23-2021-109-03,3,2,270,463,184,1610,160,93,100,999,4,2.5,2,4,9,0,163.576725075435,5,6
23567,23,110,1-23-2021-110-09,9,1,285,474,175,1536,150,83,106,999,6,3.5,9,3,9,0,1053.37739331415,5,6
23567,23,110,1-23-2021-110-09,9,2,262,458,173,1295,149,96,100,150,4,2.2,2,9,0,0,1053.37739331415,5,6
23568,23,111,1-23-2021-111-06,6,1,270,463,188,1324,156,89,104,152,4,2.0,2,1,0,0,288.694232619587,5,6
23569,23,112,1-23-2021-112-07,7,1,300,511,196,1992,169,93,118,999,6,3.5,9,1,9,0,824.499048510953,5,6
23569,23,112,1-23-2021-112-07,7,2,351,550,202,2268,174,87,112,999,8,4.6,9,9,9,0,824.499048510953,5,6
23571,66,82,1-66-2021-082-03,3,1,301,462,188,2018,160,74,87,160,6,3.6,2,3,0,0,124.214504250104,6,6
23571,66,82,1-66-2021-082-03,3,2,353,557,200,9999,999,86,117,999,8,5.0,9,2,9,0,124.214504250104,6,6
23572,16,88,1-16-2021-088-08,8,1,296,496,184,1889,156,86,114,152,6,3.6,2,1,9,0,289.347913811066,5,6
23573,16,89,1-16-2021-089-07,7,1,283,489,184,1465,160,96,108,150,4,2.5,2,1,0,0,2279.59487556875,5,6
23573,16,89,1-16-2021-089-07,7,2,278,486,185,1615,158,96,112,999,4,2.4,9,9,9,0,2279.59487556875,5,6
23574,28,82,1-28-2021-082-09,9,1,277,487,184,1614,158,105,104,140,4,2.4,2,1,0,1,162.342389194008,3,6
23575,52,165,1-52-2021-165-03,3,1,286,491,192,1991,164,94,112,168,6,3.6,2,4,0,0,73.056320140928,12,6
23575,52,165,1-52-2021-165-03,3,2,279,479,190,2289,158,87,113,166,8,5.7,2,3,0,0,73.056320140928,12,6
23577,52,167,1-52-2021-167-08,8,1,357,570,203,2225,173,102,111,180,8,5.7,2,2,0,0,76.7703634690763,12,6
23578,52,168,1-52-2021-168-08,8,1,285,484,192,1700,162,92,107,163,6,3.6,2,2,0,0,76.7703634690763,12,6
